keyframe,x,y,z
48051,-4.2257204,-15.185181,4.40984
48052,-4.4215198,-15.20806,4.1066995
48053,-4.3538394,-15.194161,4.1813006
48054,-4.37036,-15.276197,4.142181
48055,-4.3756003,-15.395181,4.49482
48056,-4.153101,-15.264858,4.0812793
48057,-3.9919994,-14.518458,4.3435802
48058,-4.20674,-14.855539,4.123219
48059,-4.41486,-15.055178,4.00544
48060,-4.3798203,-15.207481,4.19106
48061,-4.5036993,-15.195439,3.82194
48062,-4.470179,-15.2068405,3.72024
48063,-4.2755594,-15.37604,3.6132007
48064,-4.45402,-15.328683,3.8007796
48065,-4.1463194,-15.11484,3.7598794
48066,-4.3480797,-15.558223,4.3513594
48067,-4.4075394,-15.401138,4.03384
48068,-4.0524197,-15.27608,4.07188
48069,-4.37812,-15.310719,3.9598606
48070,-4.32544,-15.341777,3.8761394
48071,-4.2747593,-14.80604,3.4717598
48072,-4.42172,-15.262597,3.3901792
48073,-4.3076806,-14.958559,3.5920205
48074,-3.9299603,-14.598361,3.5963593
48075,-3.91638,-14.853943,3.3602002
48076,-3.9271002,-14.869557,3.2871401
48077,-4.1379395,-15.113719,3.5605
48078,-4.183561,-15.644597,3.68342
48079,-4.0218797,-15.001561,3.4867795
48080,-4.39854,-15.496676,3.6076992
48081,-4.1024404,-15.501019,3.8761592
48082,-3.9667404,-15.033919,3.7354598
48083,-4.02438,-15.285616,3.9182594
48084,-3.9516203,-15.562401,3.8352401
48085,-4.00904,-15.027239,3.99346
48086,-4.0456004,-15.180179,4.4021006
48087,-4.1110797,-14.8823,3.9213
48088,-3.8995602,-15.043679,4.3483
48089,-3.7672398,-14.929799,4.5293202
48090,-3.6268804,-15.343402,4.72974
48091,-3.8735802,-15.2991,4.13372
48092,-3.9615602,-15.382622,4.499941
48093,-3.8418999,-15.130219,4.22758
48094,-3.9959002,-15.26998,4.3114996
48095,-4.1294403,-15.306,4.13734
48096,-4.442,-15.0129,4.58472
48097,-3.9165595,-15.557742,4.36372
48098,-3.7485797,-15.457836,4.66238
48099,-4.0865397,-15.191757,5.0836806
48100,-3.9630196,-15.6029005,5.0296793
48101,-3.9581604,-15.388356,4.817141
48102,-4.2649,-15.65472,5.0399995
48103,-4.1130404,-15.2869005,4.607439
48104,-3.982,-15.47102,4.9409795
48105,-4.1224,-15.371881,4.5564194
48106,-4.073,-15.50426,4.7096004
48107,-3.9087398,-15.397419,4.4254804
48108,-4.00142,-15.359799,4.3369985
48109,-4.0729804,-15.38546,4.2749796
48110,-3.93716,-15.785222,4.87372
48111,-4.0561,-15.181999,4.2320404
48112,-3.9266393,-15.3297,4.44742
48113,-3.7752602,-15.676839,4.4515595
48114,-3.9629195,-15.529999,4.4073596
48115,-3.8903997,-15.557958,4.1473393
48116,-3.9494998,-15.611858,4.03134
48117,-3.5004003,-15.6829195,4.3121796
48118,-3.7711,-15.2077,4.45494
48119,-3.9126997,-15.668961,4.4899993
48120,-4.2050805,-15.57348,4.063681
48121,-3.9035997,-15.596037,4.3545594
48122,-4.042499,-15.406718,3.8559608
48123,-3.89502,-15.613238,4.3118415
48124,-3.8419607,-15.56456,4.40784
